,w0,w1,w2,w3,a0,a1,a2,a3,direction
236,175.0,102.0,425.0,798.0,1,0,0,0,up
237,174.0,102.0,426.0,798.0,1,0,0,0,up
238,169.0,102.0,431.0,798.0,1,0,0,0,up
239,168.0,102.0,432.0,798.0,1,0,0,0,up
240,166.0,102.0,434.0,798.0,1,0,0,0,up
241,165.0,102.0,435.0,798.0,1,0,0,0,up
242,164.0,102.0,436.0,798.0,1,0,0,0,up
243,162.0,102.0,438.0,798.0,1,0,0,0,up
244,160.0,102.0,440.0,798.0,1,0,0,0,up
245,158.0,104.0,442.0,796.0,0,0,0,1,left
246,158.0,108.0,442.0,792.0,0,0,0,1,left
247,158.0,112.0,442.0,788.0,0,0,0,1,left
248,158.0,118.0,442.0,782.0,0,0,0,1,left
249,158.0,120.0,442.0,780.0,0,0,0,1,left
250,158.0,130.0,442.0,770.0,0,0,0,1,left
251,158.0,134.0,442.0,766.0,0,0,0,1,left
252,158.0,136.0,442.0,764.0,0,0,0,1,left
253,158.0,138.0,442.0,762.0,0,0,0,1,left
254,158.0,140.0,442.0,760.0,0,0,0,1,left
255,158.0,144.0,442.0,756.0,0,0,0,1,left
256,158.0,152.0,442.0,748.0,0,0,0,1,left
257,158.0,154.0,442.0,746.0,0,0,0,1,left
258,158.0,156.0,442.0,744.0,0,0,0,1,left
259,158.0,160.0,442.0,740.0,0,0,0,1,left
260,158.0,162.0,442.0,738.0,0,0,0,1,left
261,158.0,164.0,442.0,736.0,0,0,0,1,left
262,158.0,166.0,442.0,734.0,0,0,0,1,left
263,158.0,168.0,442.0,732.0,0,0,0,1,left
264,158.0,170.0,442.0,730.0,0,0,0,1,left
265,158.0,172.0,442.0,728.0,0,0,0,1,left
266,158.0,174.0,442.0,726.0,0,0,0,1,left
267,158.0,178.0,442.0,722.0,0,0,0,1,left
268,158.0,182.0,442.0,718.0,0,0,0,1,left
269,158.0,184.0,442.0,716.0,0,0,0,1,left
270,158.0,188.0,442.0,712.0,0,0,0,1,left
271,158.0,192.0,442.0,708.0,0,0,0,1,left
272,158.0,194.0,442.0,706.0,0,0,0,1,left
273,158.0,200.0,442.0,700.0,0,0,0,1,left
274,158.0,202.0,442.0,698.0,0,0,0,1,left
275,158.0,204.0,442.0,696.0,0,0,0,1,left
276,158.0,212.0,442.0,688.0,0,0,0,1,left
277,158.0,216.0,442.0,684.0,0,0,0,1,left
278,158.0,226.0,442.0,674.0,0,0,0,1,left
279,158.0,232.0,442.0,668.0,0,0,0,1,left
280,158.0,242.0,442.0,658.0,0,0,0,1,left
281,158.0,250.0,442.0,650.0,0,0,0,1,left
282,158.0,252.0,442.0,648.0,0,0,0,1,left
283,158.0,254.0,442.0,646.0,0,0,0,1,left
284,158.0,262.0,442.0,638.0,0,0,0,1,left
285,158.0,264.0,442.0,636.0,0,0,0,1,left
286,158.0,266.0,442.0,634.0,0,0,0,1,left
287,158.0,268.0,442.0,632.0,0,0,0,1,left
288,158.0,274.0,442.0,626.0,0,0,0,1,left
289,158.0,278.0,442.0,622.0,0,0,0,1,left
290,158.0,290.0,442.0,610.0,0,0,0,1,left
291,158.0,292.0,442.0,608.0,0,0,0,1,left
292,158.0,294.0,442.0,606.0,0,0,0,1,left
293,158.0,298.0,442.0,602.0,0,0,0,1,left
294,158.0,300.0,442.0,600.0,0,0,0,1,left
295,158.0,302.0,442.0,598.0,0,0,0,1,left
296,158.0,304.0,442.0,596.0,0,0,0,1,left
297,158.0,308.0,442.0,592.0,0,0,0,1,left
298,158.0,310.0,442.0,590.0,0,0,0,1,left
299,158.0,312.0,442.0,588.0,0,0,0,1,left
300,158.0,314.0,442.0,586.0,0,0,0,1,left
301,158.0,318.0,442.0,582.0,0,0,0,1,left
302,158.0,320.0,442.0,580.0,0,0,0,1,left
303,158.0,330.0,442.0,570.0,0,0,0,1,left
304,158.0,340.0,442.0,560.0,0,0,0,1,left
305,158.0,342.0,442.0,558.0,0,0,0,1,left
306,158.0,344.0,442.0,556.0,0,0,0,1,left
307,158.0,346.0,442.0,554.0,0,0,0,1,left
308,158.0,352.0,442.0,548.0,0,0,0,1,left
309,158.0,358.0,442.0,542.0,0,0,0,1,left
310,158.0,362.0,442.0,538.0,0,0,0,1,left
311,158.0,370.0,442.0,530.0,0,0,0,1,left
312,158.0,374.0,442.0,526.0,0,0,0,1,left
313,158.0,380.0,442.0,520.0,0,0,0,1,left
314,158.0,384.0,442.0,516.0,0,0,0,1,left
315,158.0,386.0,442.0,514.0,0,0,0,1,left
316,158.0,388.0,442.0,512.0,0,0,0,1,left
317,158.0,394.0,442.0,506.0,0,0,0,1,left
318,158.0,396.0,442.0,504.0,0,0,0,1,left
319,158.0,402.0,442.0,498.0,0,0,0,1,left
320,158.0,404.0,442.0,496.0,0,0,0,1,left
321,158.0,406.0,442.0,494.0,0,0,0,1,left
322,158.0,408.0,442.0,492.0,0,0,0,1,left
323,158.0,412.0,442.0,488.0,0,0,0,1,left
324,158.0,416.0,442.0,484.0,0,0,0,1,left
325,158.0,418.0,442.0,482.0,0,0,0,1,left
326,158.0,420.0,442.0,480.0,0,0,0,1,left
327,158.0,422.0,442.0,478.0,0,0,0,1,left
328,158.0,430.0,442.0,470.0,0,0,0,1,left
329,158.0,434.0,442.0,466.0,0,0,0,1,left
330,158.0,436.0,442.0,464.0,0,0,0,1,left
331,158.0,440.0,442.0,460.0,0,0,0,1,left
332,158.0,444.0,442.0,456.0,0,0,0,1,left
333,158.0,446.0,442.0,454.0,0,0,0,1,left
334,158.0,448.0,442.0,452.0,0,0,0,1,left
335,158.0,452.0,442.0,448.0,0,0,0,1,left
336,158.0,454.0,442.0,446.0,0,0,0,1,left
337,158.0,458.0,442.0,442.0,0,0,0,1,left
338,158.0,460.0,442.0,440.0,0,0,0,1,left
339,158.0,462.0,442.0,438.0,0,0,0,1,left
340,158.0,464.0,442.0,436.0,0,0,0,1,left
341,158.0,466.0,442.0,434.0,0,0,0,1,left
342,158.0,470.0,442.0,430.0,0,0,0,1,left
343,158.0,472.0,442.0,428.0,0,0,0,1,left
344,158.0,480.0,442.0,420.0,0,0,0,1,left
345,158.0,486.0,442.0,414.0,0,0,0,1,left
346,158.0,492.0,442.0,408.0,0,0,0,1,left
347,158.0,498.0,442.0,402.0,0,0,0,1,left
348,158.0,500.0,442.0,400.0,0,0,0,1,left
349,158.0,502.0,442.0,398.0,0,0,0,1,left
350,158.0,506.0,442.0,394.0,0,0,0,1,left
351,158.0,508.0,442.0,392.0,0,0,0,1,left
352,158.0,510.0,442.0,390.0,0,0,0,1,left
353,158.0,512.0,442.0,388.0,0,0,0,1,left
354,158.0,514.0,442.0,386.0,0,0,0,1,left
355,158.0,516.0,442.0,384.0,0,0,0,1,left
356,158.0,520.0,442.0,380.0,0,0,0,1,left
357,158.0,524.0,442.0,376.0,0,0,0,1,left
358,158.0,526.0,442.0,374.0,0,0,0,1,left
359,158.0,532.0,442.0,368.0,0,0,0,1,left
360,158.0,534.0,442.0,366.0,0,0,0,1,left
361,158.0,536.0,442.0,364.0,0,0,0,1,left
362,158.0,540.0,442.0,360.0,0,0,0,1,left
363,158.0,542.0,442.0,358.0,0,0,0,1,left
364,158.0,544.0,442.0,356.0,0,0,0,1,left
365,158.0,550.0,442.0,350.0,0,0,0,1,left
366,158.0,554.0,442.0,346.0,0,0,0,1,left
367,158.0,556.0,442.0,344.0,0,0,0,1,left
368,158.0,560.0,442.0,340.0,0,0,0,1,left
369,158.0,562.0,442.0,338.0,0,0,0,1,left
370,158.0,568.0,442.0,332.0,0,0,0,1,left
371,158.0,592.0,442.0,308.0,0,0,0,1,left
372,158.0,594.0,442.0,306.0,0,0,0,1,left
373,158.0,596.0,442.0,304.0,0,0,0,1,left
374,158.0,598.0,442.0,302.0,0,0,0,1,left
375,158.0,608.0,442.0,292.0,0,0,0,1,left
376,158.0,610.0,442.0,290.0,0,0,0,1,left
377,158.0,614.0,442.0,286.0,0,0,0,1,left
378,158.0,616.0,442.0,284.0,0,0,0,1,left
379,158.0,622.0,442.0,278.0,0,0,0,1,left
380,158.0,624.0,442.0,276.0,0,0,0,1,left
381,158.0,630.0,442.0,270.0,0,0,0,1,left
382,158.0,636.0,442.0,264.0,0,0,0,1,left
383,158.0,638.0,442.0,262.0,0,0,0,1,left
384,158.0,640.0,442.0,260.0,0,0,0,1,left
385,158.0,642.0,442.0,258.0,0,0,0,1,left
386,158.0,648.0,442.0,252.0,0,0,0,1,left
387,158.0,658.0,442.0,242.0,0,0,0,1,left
388,158.0,664.0,442.0,236.0,0,0,0,1,left
389,158.0,666.0,442.0,234.0,0,0,0,1,left
390,158.0,668.0,442.0,232.0,0,0,0,1,left
391,158.0,674.0,442.0,226.0,0,0,0,1,left
392,158.0,676.0,442.0,224.0,0,0,0,1,left
393,158.0,678.0,442.0,222.0,0,0,0,1,left
394,158.0,680.0,442.0,220.0,0,0,0,1,left
395,158.0,682.0,442.0,218.0,0,0,0,1,left
396,158.0,686.0,442.0,214.0,0,0,0,1,left
397,158.0,690.0,442.0,210.0,0,0,0,1,left
398,158.0,692.0,442.0,208.0,0,0,0,1,left
399,158.0,694.0,442.0,206.0,0,0,0,1,left
400,158.0,696.0,442.0,204.0,0,0,0,1,left
401,158.0,704.0,442.0,196.0,0,0,0,1,left
402,158.0,710.0,442.0,190.0,0,0,0,1,left
403,160.0,716.0,440.0,184.0,0,0,1,0,down
404,166.0,716.0,434.0,184.0,0,0,1,0,down
405,170.0,716.0,430.0,184.0,0,0,1,0,down
406,180.0,716.0,420.0,184.0,0,0,1,0,down
407,182.0,716.0,418.0,184.0,0,0,1,0,down
408,184.0,716.0,416.0,184.0,0,0,1,0,down
409,186.0,716.0,414.0,184.0,0,0,1,0,down
410,188.0,716.0,412.0,184.0,0,0,1,0,down
411,192.0,716.0,408.0,184.0,0,0,1,0,down
412,196.0,716.0,404.0,184.0,0,0,1,0,down
413,198.0,716.0,402.0,184.0,0,0,1,0,down
414,200.0,716.0,400.0,184.0,0,0,1,0,down
415,204.0,716.0,396.0,184.0,0,0,1,0,down
416,206.0,716.0,394.0,184.0,0,0,1,0,down
417,212.0,716.0,388.0,184.0,0,0,1,0,down
418,214.0,716.0,386.0,184.0,0,0,1,0,down
419,216.0,716.0,384.0,184.0,0,0,1,0,down
420,222.0,716.0,378.0,184.0,0,0,1,0,down
421,224.0,716.0,376.0,184.0,0,0,1,0,down
422,228.0,716.0,372.0,184.0,0,0,1,0,down
423,232.0,716.0,368.0,184.0,0,0,1,0,down
424,234.0,716.0,366.0,184.0,0,0,1,0,down
425,235.0,716.0,365.0,184.0,0,0,1,0,down
426,235.0,701.0,365.0,199.0,0,1,0,0,right
427,235.0,698.0,365.0,202.0,0,1,0,0,right
428,235.0,695.0,365.0,205.0,0,1,0,0,right
429,235.0,686.0,365.0,214.0,0,1,0,0,right
430,235.0,683.0,365.0,217.0,0,1,0,0,right
431,235.0,671.0,365.0,229.0,0,1,0,0,right
432,235.0,662.0,365.0,238.0,0,1,0,0,right
433,235.0,659.0,365.0,241.0,0,1,0,0,right
434,235.0,650.0,365.0,250.0,0,1,0,0,right
435,235.0,647.0,365.0,253.0,0,1,0,0,right
436,238.0,643.0,362.0,257.0,0,0,1,0,down
437,244.0,643.0,356.0,257.0,0,0,1,0,down
438,247.0,643.0,353.0,257.0,0,0,1,0,down
439,253.0,643.0,347.0,257.0,0,0,1,0,down
440,256.0,643.0,344.0,257.0,0,0,1,0,down
441,265.0,643.0,335.0,257.0,0,0,1,0,down
442,268.0,643.0,332.0,257.0,0,0,1,0,down
443,271.0,643.0,329.0,257.0,0,0,1,0,down
444,274.0,643.0,326.0,257.0,0,0,1,0,down
445,277.0,643.0,323.0,257.0,0,0,1,0,down
446,286.0,643.0,314.0,257.0,0,0,1,0,down
447,292.0,643.0,308.0,257.0,0,0,1,0,down
448,298.0,643.0,302.0,257.0,0,0,1,0,down
449,301.0,643.0,299.0,257.0,0,0,1,0,down
450,304.0,643.0,296.0,257.0,0,0,1,0,down
451,325.0,643.0,275.0,257.0,0,0,1,0,down
452,328.0,643.0,272.0,257.0,0,0,1,0,down
453,331.0,643.0,269.0,257.0,0,0,1,0,down
454,334.0,643.0,266.0,257.0,0,0,1,0,down
455,337.0,643.0,263.0,257.0,0,0,1,0,down
456,346.0,643.0,254.0,257.0,0,0,1,0,down
457,352.0,643.0,248.0,257.0,0,0,1,0,down
458,355.0,643.0,245.0,257.0,0,0,1,0,down
459,367.0,643.0,233.0,257.0,0,0,1,0,down
460,370.0,643.0,230.0,257.0,0,0,1,0,down
461,373.0,643.0,227.0,257.0,0,0,1,0,down
462,376.0,643.0,224.0,257.0,0,0,1,0,down
463,379.0,643.0,221.0,257.0,0,0,1,0,down
464,397.0,643.0,203.0,257.0,0,0,1,0,down
465,400.0,643.0,200.0,257.0,0,0,1,0,down
466,406.0,643.0,194.0,257.0,0,0,1,0,down
467,412.0,643.0,188.0,257.0,0,0,1,0,down
468,418.0,643.0,182.0,257.0,0,0,1,0,down
469,424.0,643.0,176.0,257.0,0,0,1,0,down
470,430.0,643.0,170.0,257.0,0,0,1,0,down
471,433.0,643.0,167.0,257.0,0,0,1,0,down
472,436.0,643.0,164.0,257.0,0,0,1,0,down
473,442.0,643.0,158.0,257.0,0,0,1,0,down
474,445.0,643.0,155.0,257.0,0,0,1,0,down
475,454.0,643.0,146.0,257.0,0,0,1,0,down
476,457.0,643.0,143.0,257.0,0,0,1,0,down
477,460.0,643.0,140.0,257.0,0,0,1,0,down
478,463.0,643.0,137.0,257.0,0,0,1,0,down
479,469.0,643.0,131.0,257.0,0,0,1,0,down
480,475.0,643.0,125.0,257.0,0,0,1,0,down
481,481.0,643.0,119.0,257.0,0,0,1,0,down
482,484.0,643.0,116.0,257.0,0,0,1,0,down
483,487.0,643.0,113.0,257.0,0,0,1,0,down
484,490.0,643.0,110.0,257.0,0,0,1,0,down
485,493.0,643.0,107.0,257.0,0,0,1,0,down
486,496.0,643.0,104.0,257.0,0,0,1,0,down
487,499.0,643.0,101.0,257.0,0,0,1,0,down
488,505.0,643.0,95.0,257.0,0,0,1,0,down
489,508.0,643.0,92.0,257.0,0,0,1,0,down
490,523.0,643.0,77.0,257.0,0,0,1,0,down
491,526.0,643.0,74.0,257.0,0,0,1,0,down
492,529.0,643.0,71.0,257.0,0,0,1,0,down
493,535.0,643.0,65.0,257.0,0,0,1,0,down
494,550.0,643.0,50.0,257.0,0,0,1,0,down
495,551.0,631.0,49.0,269.0,0,1,0,0,right
496,551.0,627.0,49.0,273.0,0,1,0,0,right
497,551.0,619.0,49.0,281.0,0,1,0,0,right
498,551.0,603.0,49.0,297.0,0,1,0,0,right
499,551.0,587.0,49.0,313.0,0,1,0,0,right
500,551.0,583.0,49.0,317.0,0,1,0,0,right
501,551.0,579.0,49.0,321.0,0,1,0,0,right
502,551.0,575.0,49.0,325.0,0,1,0,0,right
503,551.0,567.0,49.0,333.0,0,1,0,0,right
504,551.0,563.0,49.0,337.0,0,1,0,0,right
505,551.0,559.0,49.0,341.0,0,1,0,0,right
506,551.0,551.0,49.0,349.0,0,1,0,0,right
507,551.0,547.0,49.0,353.0,0,1,0,0,right
508,551.0,543.0,49.0,357.0,0,1,0,0,right
509,551.0,535.0,49.0,365.0,0,1,0,0,right
510,551.0,523.0,49.0,377.0,0,1,0,0,right
511,551.0,515.0,49.0,385.0,0,1,0,0,right
512,551.0,511.0,49.0,389.0,0,1,0,0,right
513,551.0,507.0,49.0,393.0,0,1,0,0,right
514,551.0,503.0,49.0,397.0,0,1,0,0,right
515,551.0,499.0,49.0,401.0,0,1,0,0,right
516,551.0,491.0,49.0,409.0,0,1,0,0,right
517,551.0,487.0,49.0,413.0,0,1,0,0,right
518,551.0,475.0,49.0,425.0,0,1,0,0,right
519,551.0,463.0,49.0,437.0,0,1,0,0,right
520,551.0,455.0,49.0,445.0,0,1,0,0,right
521,551.0,443.0,49.0,457.0,0,1,0,0,right
522,551.0,439.0,49.0,461.0,0,1,0,0,right
523,551.0,435.0,49.0,465.0,0,1,0,0,right
524,551.0,431.0,49.0,469.0,0,1,0,0,right
525,551.0,427.0,49.0,473.0,0,1,0,0,right
526,551.0,423.0,49.0,477.0,0,1,0,0,right
527,551.0,411.0,49.0,489.0,0,1,0,0,right
528,551.0,395.0,49.0,505.0,0,1,0,0,right
529,551.0,391.0,49.0,509.0,0,1,0,0,right
530,551.0,387.0,49.0,513.0,0,1,0,0,right
531,551.0,379.0,49.0,521.0,0,1,0,0,right
532,551.0,371.0,49.0,529.0,0,1,0,0,right
533,551.0,367.0,49.0,533.0,0,1,0,0,right
534,551.0,355.0,49.0,545.0,0,1,0,0,right
535,551.0,347.0,49.0,553.0,0,1,0,0,right
536,551.0,343.0,49.0,557.0,0,1,0,0,right
537,551.0,339.0,49.0,561.0,0,1,0,0,right
538,551.0,335.0,49.0,565.0,0,1,0,0,right
539,551.0,323.0,49.0,577.0,0,1,0,0,right
540,551.0,319.0,49.0,581.0,0,1,0,0,right
541,551.0,299.0,49.0,601.0,0,1,0,0,right
542,551.0,291.0,49.0,609.0,0,1,0,0,right
543,551.0,275.0,49.0,625.0,0,1,0,0,right
544,551.0,271.0,49.0,629.0,0,1,0,0,right
545,551.0,263.0,49.0,637.0,0,1,0,0,right
546,551.0,255.0,49.0,645.0,0,1,0,0,right
547,551.0,243.0,49.0,657.0,0,1,0,0,right
548,551.0,239.0,49.0,661.0,0,1,0,0,right
549,551.0,235.0,49.0,665.0,0,1,0,0,right
